Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sports,"41,36","28,96","3,77","8,45","82,53"
Platform,"29,08","3,58","6,81","0,77","40,24"
Racing,"15,68","12,76","3,79","3,29","35,52"
Sports,"15,61","10,93","3,28","2,95","32,77"
Role-Playing,"11,27","8,89","10,22","1,00","31,37"
Puzzle,"23,20","2,26","4,22","0,58","30,26"
Platform,"11,28","9,14","6,50","2,88","29,80"
Misc,"13,96","9,18","2,93","2,84","28,92"
Platform,"14,44","6,94","4,70","2,24","28,32"
Shooter,"26,93","0,63","0,28","0,47","28,31"
Simulation,"9,05","10,95","1,93","2,74","24,67"
Racing,"9,71","7,47","4,13","1,90","23,21"
Role-Playing,"9,00","6,18","7,20","0,71","23,10"
Sports,"8,92","8,03","3,60","2,15","22,70"
Misc,"15,00","4,89","0,24","1,69","21,81"
Sports,"9,01","8,49","2,53","1,77","21,79"
Action,"7,02","9,09","0,98","3,96","21,04"
Action,"9,43","0,40","0,41","10,57","20,81"
Platform,"12,78","3,75","3,54","0,55","20,61"
Misc,"4,74","9,20","4,16","2,04","20,15"
Role-Playing,"6,38","4,46","6,04","1,36","18,25"
Platform,"10,83","2,71","4,18","0,42","18,14"
Platform,"9,54","3,44","3,84","0,46","17,28"
Action,"9,66","5,14","0,06","1,41","16,27"
Action,"8,41","5,49","0,47","1,78","16,15"
Role-Playing,"6,06","3,90","5,38","0,50","15,85"
Puzzle,"3,43","5,35","5,32","1,18","15,29"
Role-Playing,"5,51","3,17","5,65","0,80","15,14"
Racing,"6,85","5,09","1,87","1,16","14,98"
Shooter,"9,04","4,24","0,13","1,32","14,73"
Role-Playing,"5,89","5,04","3,12","0,59","14,64"
Shooter,"6,03","5,86","0,36","2,38","14,63"
Shooter,"9,70","3,68","0,11","1,13","14,61"
Role-Playing,"5,28","4,19","4,35","0,78","14,60"
Shooter,"4,99","5,73","0,65","2,42","13,79"
Shooter,"8,25","4,24","0,07","1,12","13,67"
Shooter,"8,52","3,59","0,08","1,28","13,47"
Shooter,"5,54","5,73","0,49","1,57","13,32"
Action,"6,99","4,51","0,30","1,30","13,10"
Fighting,"6,62","2,55","2,66","1,01","12,84"
Racing,"5,03","4,02","2,69","0,91","12,66"
Shooter,"5,99","4,37","0,48","1,79","12,63"
Action,"3,96","6,31","0,38","1,97","12,61"
Simulation,"2,50","3,45","5,33","0,86","12,13"
Shooter,"7,97","2,81","0,13","1,21","12,12"
Platform,"6,91","2,85","1,91","0,23","11,89"
Action,"4,34","2,71","3,96","0,76","11,77"
Role-Playing,"4,35","3,49","3,10","0,74","11,68"
Racing,"3,01","0,01","1,10","7,53","11,66"
Platform,"6,06","3,35","1,20","0,74","11,35"
Adventure,"6,16","2,04","2,69","0,29","11,18"
Action,"6,76","3,07","0,14","1,03","11,01"
Racing,"4,02","3,87","2,54","0,52","10,95"
Platform,"4,89","3,00","2,14","0,78","10,81"
Racing,"2,96","4,82","0,81","2,11","10,70"
Shooter,"4,99","3,64","0,38","1,60","10,60"
Platform,"5,99","2,15","2,12","0,29","10,55"
Action,"4,76","3,69","0,44","1,61","10,50"
Role-Playing,"4,34","2,65","3,15","0,35","10,49"
Platform,"5,01","3,07","1,25","0,97","10,30"
Shooter,"6,73","2,56","0,04","0,91","10,25"
Misc,"5,95","3,11","0,00","1,06","10,12"
Platform,"3,66","3,14","2,47","0,63","9,90"
Racing,"5,55","1,94","2,23","0,15","9,87"
Shooter,"7,04","1,95","0,08","0,79","9,86"
Role-Playing,"3,01","2,47","3,28","0,96","9,72"
Shooter,"6,65","2,28","0,04","0,74","9,71"
Racing,"3,88","3,42","1,69","0,50","9,49"
Misc,"5,80","2,85","0,01","0,78","9,44"
Shooter,"4,10","3,63","0,38","1,25","9,36"
Shooter,"5,93","2,36","0,13","0,90","9,31"
Platform,"4,36","1,71","3,00","0,23","9,30"
Misc,"5,70","2,65","0,02","0,81","9,18"
Simulation,"2,03","2,36","4,39","0,39","9,16"
Misc,"4,40","1,85","1,98","0,68","8,91"
Role-Playing,"5,05","2,79","0,10","0,85","8,79"
Racing,"3,54","1,24","3,81","0,18","8,76"
Sports,"1,12","6,12","0,06","1,28","8,57"
Shooter,"6,82","1,53","0,05","0,08","8,49"
Misc,"1,75","3,47","2,49","0,67","8,38"
Misc,"3,74","2,24","1,58","0,70","8,27"
Action,"1,06","5,01","0,13","1,97","8,16"
Shooter,"5,80","2,01","0,13","0,15","8,09"
Role-Playing,"2,79","1,72","3,14","0,41","8,07"
Role-Playing,"2,91","2,07","2,73","0,33","8,05"
Simulation,"0,99","6,42","0,00","0,60","8,01"
Sports,"2,57","3,86","0,66","0,91","7,99"
Shooter,"2,99","3,49","0,22","1,28","7,98"
Role-Playing,"2,28","1,72","3,63","0,23","7,86"
Puzzle,"7,28","0,45","0,00","0,08","7,81"
Role-Playing,"2,76","1,72","2,69","0,54","7,72"
Action,"2,90","2,81","0,24","1,73","7,69"
Shooter,"2,81","3,48","0,14","1,23","7,66"
Action,"4,10","1,89","1,45","0,16","7,60"
Sports,"0,66","5,75","0,08","1,11","7,59"
Platform,"3,78","2,17","1,31","0,31","7,58"
Fighting,"3,27","1,37","2,43","0,48","7,55"
Platform,"3,56","2,35","0,98","0,62","7,51"
Platform,"5,39","1,18","0,70","0,19","7,46"
Shooter,"4,59","2,11","0,01","0,68","7,39"
Shooter,"4,81","1,88","0,00","0,69","7,38"
Shooter,"4,46","2,11","0,06","0,69","7,32"
Racing,"3,27","2,83","0,08","1,02","7,20"
Misc,"3,48","2,99","0,00","0,73","7,20"
Shooter,"2,85","2,89","0,35","1,08","7,17"
Role-Playing,"2,53","3,27","0,24","1,13","7,16"
Fighting,"3,27","2,22","1,40","0,29","7,16"
Action,"3,74","2,14","0,60","0,68","7,15"
Role-Playing,"2,98","1,45","2,26","0,45","7,14"
Platform,"3,68","1,75","1,42","0,28","7,13"
Racing,"3,15","2,15","1,28","0,51","7,09"
Fighting,"4,41","1,04","1,39","0,22","7,07"
Racing,"4,12","1,77","0,87","0,19","6,95"
Racing,"2,71","3,02","0,08","1,09","6,90"
Shooter,"2,93","2,75","0,17","0,99","6,83"
Platform,"3,23","2,35","0,94","0,30","6,82"
Misc,"4,05","2,16","0,00","0,55","6,76"
Shooter,"4,15","1,90","0,06","0,64","6,75"
Action,"2,77","2,75","0,19","1,03","6,74"
Sports,"3,45","2,59","0,00","0,66","6,71"
Shooter,"3,11","2,26","0,28","1,03","6,68"
Action,"3,27","2,20","0,21","0,98","6,66"
Sports,"0,84","4,30","0,11","1,39","6,65"
Misc,"1,66","2,75","1,60","0,62","6,62"
Action,"3,74","0,93","1,69","0,14","6,51"
Action,"2,79","2,53","0,17","0,99","6,49"
Sports,"0,78","4,24","0,07","1,37","6,47"
Action,"2,64","2,52","0,16","1,12","6,45"
Platform,"3,17","1,79","1,03","0,46","6,44"
Shooter,"4,98","1,30","0,08","0,07","6,43"
Role-Playing,"2,55","2,60","0,25","1,00","6,41"
Role-Playing,"2,57","1,58","2,06","0,21","6,41"
Role-Playing,"3,64","1,20","1,49","0,07","6,40"
Role-Playing,"2,55","1,56","1,29","0,99","6,39"
Shooter,"4,34","1,34","0,06","0,61","6,34"
Action,"3,70","1,95","0,09","0,58","6,32"
Platform,"4,01","1,26","0,87","0,17","6,31"
Fighting,"2,47","0,83","2,87","0,12","6,30"
Role-Playing,"0,08","6,21","0,00","0,00","6,29"
Action,"3,11","2,80","0,02","0,33","6,27"
Shooter,"4,05","1,59","0,07","0,50","6,21"
Sports,"3,92","1,73","0,03","0,51","6,19"
Shooter,"3,54","1,88","0,07","0,60","6,09"
Sports,"0,80","4,33","0,05","0,90","6,08"
Action,"2,45","2,01","0,87","0,72","6,05"
Platform,"4,47","1,20","0,16","0,19","6,03"
Action,"3,18","1,83","0,78","0,24","6,03"
Action,"2,63","1,71","0,83","0,82","5,99"
Role-Playing,"1,88","0,00","2,33","1,74","5,95"
Action,"2,41","2,18","0,28","0,99","5,87"
